ID,Type,SKU,Name,Published,Is featured?,Visibility in catalogue,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Meta: _wp_page_template,Meta: _product_layout,Meta: _product_style,Meta: _total_stock_quantity,Meta: _specifications_display_attributes,Meta: _specifications_attributes_title,Meta: _specifications,Meta: slide_template,Meta: rs_page_bg_color,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 7 name,Attribute 7 value(s),Attribute 7 visible,Attribute 7 global,Attribute 1 default,Attribute 2 default,Attribute 3 default,Attribute 4 default,Attribute 5 default,Attribute 6 default,Attribute 7 default,Attribute 8 name,Attribute 8 value(s),Attribute 8 visible,Attribute 8 global,Attribute 8 default,Attribute 9 name,Attribute 9 value(s),Attribute 9 visible,Attribute 9 global,Attribute 9 default,Meta: _wp_old_date
14450,variable,,Panel Pavement Signs,1,0,visible,"<h2>Increase footfall and attract trade with this double sided aluminium panel pavement sign!</h2>
\nPromote new offers and direct customers to your business premises with this robust outdoor pavement sign. The graphics panel slots easily into the heavy-duty PVC base for a secure and sleek looking display.
\n
\nThe graphics area of the panel pavement sign measures a generous 405 x 785mm and can be purchased with or without personalisation.","<h1 class=""header"">Product Specifications</h1>
\n<ul>
\n 	<li>Solid rubber base for extra stability</li>
\n 	<li>Robust aluminium graphics panel</li>
\n 	<li>2 way graphics for greater impact</li>
\n 	<li>Vibrant print fills the entire panel</li>
\n 	<li>Long-lasting powder-coated finish</li>
\n 	<li>Quick assembly, no tools required</li>
\n 	<li>Extremely stable in high winds</li>
\n 	<li><strong>FREE NATIONWIDE UK DELIVERY</strong></li>
\n</ul>",,,taxable,,1,,,0,0,,,,,1,,,,Pavement Signs &amp; A-Boards,,,,,,,,,,,,0,Size,405 x 785mm,1,1,Graphics,"With Graphics, Without Graphics",1,1,Artwork,"Supplying Own [£0], Design [£40]",1,0,PDF Proof,"No Proof Required [£0], Proof Required [£2.50]",1,0,Delivery,5 Workings Days,1,1,default,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14459,variable,,Swinging Pavement Signs,1,0,visible,"<h2>Solid base double sided swinger pavement sign that is built to last!</h2>
\nGrab the attention of passerby’s with our best-selling outdoor pavement sign. With its sturdy rubber base it offers excellent stability and perfect for withstanding harsh weather and high winds.
\n
\nThe swinging pavement sign features a simple round shape design for easy transport and storing. It can be purchased with our without personalisation and all prices are inclusive of FREE UK delivery!","<h1 class=""header"">Product Specifications</h1>
\n<ul>
\n 	<li>Heavy-duty outdoor pavement sign</li>
\n 	<li>Solid rubber base for extra stability</li>
\n 	<li>Robust aluminium graphics panel</li>
